age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
19.00,Female,IT,1.99,TikTok,60.00,8.32,8.54,7.60,8.00,6.10,1.28,0.00,TRUE,FALSE,1.00,29.00,14.39,6.53
64.00,Female,Education,5.62,Telegram,63.00,8.80,2.58,2.74,5.00,6.86,1.34,10.00,TRUE,FALSE,5.00,19.00,0.00,3.21
24.00,Female,Finance,2.96,Twitter,59.00,11.02,7.73,6.89,3.00,6.95,0.71,0.00,TRUE,FALSE,0.00,2.00,11.02,7.54
61.00,Male,Unemployed,1.63,Facebook,51.00,7.97,8.90,7.36,1.00,4.79,0.69,9.00,FALSE,FALSE,4.00,11.00,21.95,8.88
25.00,Female,Unemployed,6.59,Instagram,48.00,2.25,6.69,5.42,1.00,3.93,0.81,3.00,TRUE,FALSE,3.00,12.00,3.99,5.12
64.00,Female,Education,1.57,TikTok,66.00,9.96,3.32,3.41,1.00,6.35,,2.00,TRUE,FALSE,2.00,25.00,9.19,4.54
52.00,Male,IT,4.59,Facebook,61.00,7.41,4.17,3.24,1.00,6.64,0.85,2.00,TRUE,TRUE,3.00,26.00,5.22,2.04
31.00,Female,Health,0.01,TikTok,55.00,8.79,4.94,4.28,7.00,9.83,0.61,1.00,TRUE,FALSE,0.00,2.00,10.88,
53.00,Male,Student,0.40,Telegram,72.00,5.17,6.03,5.33,4.00,8.25,0.27,1.00,FALSE,FALSE,1.00,22.00,11.13,4.06
57.00,Male,Health,3.76,TikTok,62.00,6.68,7.83,6.97,3.00,5.38,0.99,5.00,TRUE,FALSE,4.00,1.00,17.27,6.31
59.00,Female,Finance,5.17,Twitter,69.00,7.07,8.56,7.78,6.00,9.67,0.56,6.00,FALSE,FALSE,1.00,13.00,30.66,7.38
21.00,Female,Health,2.83,Telegram,51.00,6.00,2.50,2.10,2.00,8.87,0.02,2.00,FALSE,FALSE,2.00,13.00,12.54,0.00
46.00,Female,Education,3.79,Facebook,50.00,7.14,3.10,2.18,4.00,6.69,0.28,2.00,FALSE,FALSE,2.00,26.00,7.00,1.93
35.00,Female,Unemployed,8.69,Telegram,67.00,9.51,6.64,5.54,3.00,6.24,0.50,8.00,FALSE,FALSE,1.00,13.00,0.00,5.74
61.00,Male,IT,1.46,Facebook,56.00,9.15,6.37,5.89,9.00,5.10,3.00,6.00,TRUE,FALSE,1.00,14.00,12.69,6.20
51.00,Female,Health,0.00,TikTok,53.00,5.82,3.54,2.78,7.00,8.00,0.78,8.00,FALSE,FALSE,2.00,11.00,3.39,
27.00,Male,IT,0.00,Instagram,64.00,8.36,5.71,4.40,4.00,5.72,1.68,4.00,TRUE,TRUE,2.00,6.00,0.48,4.57
53.00,Female,Health,6.81,Twitter,52.00,3.76,2.83,2.15,10.00,7.21,0.72,5.00,TRUE,TRUE,2.00,10.00,8.12,2.55
65.00,Male,Finance,2.43,Telegram,76.00,5.67,3.55,4.27,9.00,7.93,2.59,0.00,TRUE,FALSE,3.00,29.00,21.73,4.13
32.00,Female,Finance,2.01,Facebook,61.00,2.31,5.88,4.35,2.00,5.60,0.55,10.00,FALSE,FALSE,3.00,23.00,0.00,5.22
25.00,Female,IT,0.90,Twitter,66.00,4.81,6.25,4.50,8.00,6.07,0.63,1.00,FALSE,FALSE,0.00,3.00,15.08,5.44
57.00,Male,Student,2.18,Telegram,73.00,6.33,8.12,7.11,5.00,7.28,0.90,10.00,FALSE,TRUE,2.00,11.00,19.95,8.08
38.00,Female,Health,4.70,TikTok,69.00,10.21,3.40,2.32,9.00,5.62,0.00,10.00,TRUE,FALSE,1.00,13.00,4.15,2.59
33.00,Male,Finance,2.88,Facebook,60.00,9.04,4.54,4.90,6.00,4.70,0.00,3.00,FALSE,FALSE,0.00,0.00,12.78,3.45
35.00,Female,IT,2.62,Facebook,64.00,7.95,3.20,2.70,3.00,8.11,0.48,7.00,FALSE,FALSE,2.00,30.00,11.91,3.27
64.00,Male,Finance,0.53,Telegram,55.00,9.99,2.96,2.00,1.00,5.93,1.73,7.00,TRUE,TRUE,0.00,1.00,6.40,2.26
41.00,Female,Unemployed,0.61,Instagram,65.00,8.69,8.15,6.83,5.00,7.02,1.06,1.00,FALSE,FALSE,4.00,5.00,0.00,7.48
62.00,Male,Finance,4.20,Facebook,63.00,3.02,2.84,2.22,7.00,6.81,0.00,5.00,TRUE,FALSE,0.00,25.00,0.00,2.99
58.00,Male,Unemployed,2.33,Telegram,67.00,7.46,7.26,6.28,8.00,6.32,1.31,4.00,FALSE,FALSE,2.00,13.00,6.79,6.51
32.00,Female,IT,3.52,TikTok,63.00,7.41,5.49,6.12,6.00,7.06,1.22,1.00,TRUE,FALSE,3.00,31.00,1.59,7.00
18.00,Female,Unemployed,0.00,Facebook,61.00,7.30,2.24,1.71,4.00,5.41,0.19,9.00,TRUE,FALSE,1.00,18.00,8.85,2.73
42.00,Female,Unemployed,0.00,TikTok,65.00,4.36,3.87,3.03,8.00,7.66,0.41,9.00,TRUE,FALSE,1.00,12.00,12.76,2.86
26.00,Female,Finance,1.51,Telegram,64.00,5.12,4.59,4.31,4.00,5.34,0.72,0.00,TRUE,FALSE,0.00,21.00,14.20,5.16
41.00,Female,Education,3.30,Facebook,71.00,5.16,2.14,1.76,6.00,6.91,0.36,7.00,TRUE,FALSE,1.00,16.00,12.95,
18.00,Male,Unemployed,3.46,Instagram,62.00,6.65,8.49,7.79,8.00,5.14,1.45,3.00,FALSE,FALSE,7.00,16.00,1.89,
61.00,Female,IT,5.41,Telegram,70.00,7.18,8.25,7.04,6.00,7.28,0.38,2.00,FALSE,TRUE,2.00,23.00,0.00,7.01
25.00,Female,Student,6.30,Twitter,70.00,6.74,7.79,7.20,6.00,7.08,1.03,9.00,FALSE,FALSE,2.00,25.00,15.99,
28.00,Female,Education,2.70,TikTok,51.00,6.35,2.57,1.81,8.00,7.95,0.66,1.00,FALSE,FALSE,3.00,5.00,16.11,1.45
34.00,Male,Unemployed,2.75,Facebook,53.00,8.17,5.40,5.39,3.00,7.24,1.50,0.00,FALSE,FALSE,2.00,28.00,9.50,
25.00,Male,Student,6.04,Facebook,53.00,7.81,2.31,2.32,1.00,7.78,,7.00,TRUE,FALSE,2.00,22.00,0.00,2.65
52.00,Male,Student,0.12,TikTok,59.00,8.32,2.24,3.24,7.00,9.39,0.60,9.00,FALSE,TRUE,1.00,20.00,16.49,4.49
52.00,Female,Unemployed,5.87,Instagram,57.00,4.44,3.18,3.42,9.00,8.48,1.42,9.00,FALSE,FALSE,1.00,14.00,16.54,4.99
50.00,Male,IT,4.13,TikTok,66.00,5.30,6.78,5.49,3.00,6.61,2.02,0.00,TRUE,FALSE,0.00,23.00,0.00,6.88
22.00,Female,Health,1.90,TikTok,58.00,7.19,4.44,4.34,3.00,6.99,0.13,5.00,FALSE,TRUE,1.00,5.00,17.11,3.45
59.00,Female,Education,4.74,Twitter,54.00,6.51,6.74,5.90,4.00,7.68,0.89,4.00,FALSE,FALSE,2.00,11.00,12.67,6.93
45.00,Female,Student,3.24,Telegram,66.00,8.50,6.52,6.89,7.00,3.60,0.00,10.00,FALSE,FALSE,4.00,18.00,5.15,7.73
24.00,Female,Education,2.47,Instagram,59.00,7.35,4.45,3.73,3.00,6.53,1.66,10.00,FALSE,TRUE,4.00,12.00,12.58,4.00
26.00,Female,IT,2.03,Telegram,53.00,1.51,3.43,2.89,10.00,5.87,0.71,0.00,FALSE,TRUE,4.00,30.00,7.50,2.35
25.00,Female,Education,1.42,TikTok,58.00,3.94,3.12,2.48,6.00,7.64,1.46,8.00,FALSE,FALSE,3.00,0.00,0.00,3.90
29.00,Female,Finance,4.23,TikTok,65.00,6.49,3.32,2.72,4.00,6.84,0.67,6.00,FALSE,FALSE,3.00,17.00,21.02,1.37
50.00,Male,IT,2.05,Facebook,60.00,7.09,4.95,5.36,3.00,7.74,1.16,10.00,FALSE,FALSE,2.00,1.00,10.72,4.70
40.00,Male,Unemployed,2.08,TikTok,52.00,7.58,6.70,5.59,2.00,5.72,1.43,0.00,TRUE,FALSE,2.00,7.00,7.11,3.09
41.00,Male,Health,1.83,Facebook,42.00,9.29,2.84,2.00,9.00,6.12,2.49,6.00,FALSE,FALSE,1.00,15.00,14.01,3.03
54.00,Female,Health,2.19,Telegram,62.00,7.43,5.99,5.22,9.00,7.25,0.99,7.00,FALSE,TRUE,6.00,2.00,6.74,5.24
57.00,Female,Unemployed,3.31,Twitter,52.00,5.94,5.96,5.61,7.00,6.86,0.01,5.00,FALSE,TRUE,2.00,9.00,19.81,5.20
39.00,Female,Student,2.23,Facebook,59.00,6.07,7.53,7.63,3.00,4.66,0.75,4.00,FALSE,TRUE,3.00,5.00,18.06,7.14
52.00,Female,Unemployed,3.44,Telegram,65.00,6.52,7.69,6.43,7.00,8.06,0.38,2.00,FALSE,TRUE,1.00,5.00,4.56,7.08
18.00,Male,Student,1.57,Telegram,59.00,9.17,6.75,5.81,3.00,5.24,2.07,0.00,FALSE,FALSE,1.00,2.00,8.82,6.16
54.00,Female,IT,6.31,TikTok,57.00,7.65,2.25,1.42,5.00,5.84,1.73,3.00,TRUE,FALSE,2.00,28.00,10.27,
64.00,Male,Student,1.68,Telegram,73.00,7.11,2.41,2.19,8.00,7.26,1.87,1.00,FALSE,FALSE,5.00,1.00,8.21,1.77
31.00,Male,Unemployed,4.81,Facebook,68.00,4.60,6.89,5.37,9.00,5.19,2.43,1.00,TRUE,FALSE,3.00,3.00,6.31,6.01
20.00,Female,Health,2.18,Facebook,69.00,7.47,8.34,7.68,5.00,5.48,0.89,6.00,TRUE,TRUE,3.00,3.00,9.28,10.00
22.00,Male,Finance,3.76,Telegram,67.00,7.60,5.68,5.50,6.00,6.66,0.90,7.00,FALSE,FALSE,2.00,27.00,12.99,5.53
31.00,Male,Student,0.00,Telegram,59.00,10.40,7.09,6.44,9.00,8.52,1.79,9.00,TRUE,FALSE,2.00,29.00,0.00,6.76
56.00,Male,Unemployed,3.11,TikTok,70.00,7.37,2.48,2.59,4.00,6.66,1.06,6.00,FALSE,FALSE,3.00,26.00,12.71,1.96
32.00,Male,IT,3.71,Facebook,57.00,7.49,4.69,3.89,8.00,3.52,1.33,10.00,FALSE,FALSE,5.00,6.00,24.73,4.55
43.00,Female,IT,2.74,Telegram,50.00,11.92,2.17,1.30,6.00,5.78,1.38,7.00,TRUE,FALSE,1.00,21.00,12.86,0.89
59.00,Female,Finance,5.22,Twitter,57.00,8.61,6.83,5.32,3.00,5.75,1.29,9.00,FALSE,FALSE,4.00,9.00,3.51,5.36
30.00,Female,Unemployed,2.07,TikTok,59.00,6.38,4.32,3.77,1.00,6.75,0.00,4.00,FALSE,FALSE,1.00,13.00,12.95,4.44
49.00,Female,Student,2.25,Twitter,55.00,5.01,7.42,6.33,7.00,6.18,0.64,8.00,FALSE,FALSE,1.00,15.00,11.74,4.94
49.00,Male,Finance,1.34,Facebook,59.00,4.81,6.46,6.64,6.00,6.87,1.48,10.00,FALSE,FALSE,1.00,26.00,7.08,7.31
21.00,Female,Health,5.58,Instagram,72.00,4.17,2.67,1.77,8.00,9.03,0.00,8.00,TRUE,FALSE,0.00,27.00,3.35,
47.00,Female,IT,5.52,TikTok,46.00,9.71,7.33,6.95,5.00,7.57,0.00,1.00,FALSE,TRUE,2.00,27.00,12.37,6.36
40.00,Male,Health,1.50,Telegram,53.00,3.40,3.00,2.83,9.00,6.88,,6.00,TRUE,TRUE,1.00,17.00,11.07,2.33
56.00,Male,IT,2.30,Instagram,54.00,7.84,8.15,7.24,2.00,7.55,1.52,8.00,FALSE,FALSE,0.00,6.00,6.49,7.65
62.00,Female,IT,5.40,Instagram,68.00,8.35,4.97,4.55,10.00,6.29,0.00,9.00,TRUE,FALSE,2.00,18.00,9.90,4.05
32.00,Male,Education,2.29,Twitter,59.00,6.06,8.80,7.98,5.00,7.07,0.48,3.00,FALSE,TRUE,2.00,8.00,7.17,
60.00,Male,Student,3.31,Instagram,54.00,7.59,3.73,2.59,1.00,5.11,1.08,7.00,FALSE,FALSE,3.00,13.00,17.52,4.18
46.00,Male,Finance,0.87,Instagram,52.00,5.11,6.80,5.71,5.00,7.84,1.87,4.00,TRUE,TRUE,1.00,19.00,20.21,5.11
30.00,Male,IT,0.66,Facebook,57.00,8.48,2.07,2.42,5.00,7.26,0.71,0.00,TRUE,FALSE,0.00,21.00,0.00,
49.00,Male,Student,2.18,Telegram,54.00,5.13,8.25,7.49,6.00,6.59,0.08,0.00,TRUE,FALSE,2.00,25.00,2.57,7.57
39.00,Female,Education,5.47,Facebook,54.00,8.00,7.66,6.73,5.00,5.52,,3.00,FALSE,FALSE,1.00,2.00,6.75,
45.00,Female,Health,2.94,TikTok,58.00,7.31,2.74,2.28,3.00,8.69,0.35,3.00,TRUE,FALSE,4.00,5.00,8.60,1.39
59.00,Male,Finance,1.04,TikTok,48.00,7.07,7.09,6.22,6.00,7.59,0.38,9.00,TRUE,FALSE,0.00,11.00,18.04,
62.00,Male,Student,5.10,Facebook,66.00,8.50,4.36,3.65,2.00,5.83,0.66,2.00,FALSE,FALSE,3.00,16.00,3.44,2.44
23.00,Male,Unemployed,3.79,Telegram,63.00,7.44,3.90,4.00,3.00,4.49,0.80,7.00,FALSE,FALSE,1.00,20.00,27.44,4.13
45.00,Female,Education,1.41,Facebook,61.00,3.29,8.56,7.67,3.00,3.54,,6.00,TRUE,TRUE,0.00,0.00,15.32,9.04
45.00,Male,IT,1.68,Instagram,60.00,9.48,3.52,3.07,2.00,7.59,1.13,8.00,FALSE,FALSE,3.00,14.00,0.00,2.17
61.00,Female,Health,4.10,Instagram,53.00,9.70,2.76,1.53,4.00,7.45,1.87,6.00,TRUE,FALSE,3.00,21.00,21.73,1.43
61.00,Other,Education,2.92,Facebook,64.00,8.27,2.47,1.80,4.00,5.64,0.21,5.00,FALSE,TRUE,1.00,20.00,8.01,1.29
50.00,Male,Unemployed,0.00,Instagram,62.00,9.93,4.98,5.00,2.00,6.26,0.00,4.00,TRUE,FALSE,1.00,6.00,8.80,5.66
44.00,Male,Health,4.47,TikTok,45.00,5.31,3.25,2.86,5.00,5.64,0.82,5.00,FALSE,FALSE,1.00,29.00,9.10,3.53
58.00,Female,Finance,2.16,Facebook,64.00,3.42,5.94,5.18,10.00,8.30,1.85,4.00,FALSE,FALSE,0.00,21.00,14.01,5.42
20.00,Female,Unemployed,3.96,Telegram,65.00,8.92,7.04,6.23,4.00,7.59,1.58,0.00,TRUE,TRUE,1.00,7.00,13.77,6.64
25.00,Male,Health,0.00,Instagram,69.00,9.51,3.77,3.29,2.00,7.50,1.15,10.00,FALSE,FALSE,4.00,14.00,6.33,2.53
44.00,Male,Unemployed,2.78,Instagram,59.00,7.00,6.22,5.43,1.00,8.09,0.78,4.00,TRUE,FALSE,2.00,26.00,17.02,6.52
26.00,Male,Finance,0.00,Facebook,60.00,6.17,3.11,3.23,5.00,8.85,1.16,10.00,FALSE,TRUE,0.00,19.00,16.12,2.30
54.00,Female,Student,2.49,Instagram,59.00,9.80,5.15,4.09,4.00,4.43,0.61,9.00,TRUE,FALSE,1.00,31.00,0.00,3.76
50.00,Male,Finance,2.14,Instagram,77.00,6.47,6.47,6.79,9.00,7.82,0.45,8.00,FALSE,FALSE,2.00,20.00,12.95,7.29
61.00,Female,IT,0.00,TikTok,60.00,6.47,2.72,2.66,8.00,5.52,1.31,1.00,FALSE,FALSE,2.00,9.00,10.29,
41.00,Female,Unemployed,1.53,Facebook,68.00,4.57,6.64,5.38,9.00,5.93,0.96,10.00,TRUE,TRUE,1.00,19.00,21.29,5.84
32.00,Female,Student,5.93,Instagram,69.00,11.15,7.38,5.94,1.00,5.84,0.22,8.00,FALSE,FALSE,3.00,10.00,16.10,6.36
49.00,Male,IT,3.50,Instagram,51.00,4.72,7.22,6.42,8.00,7.53,0.05,9.00,FALSE,TRUE,4.00,5.00,8.16,6.36
49.00,Female,Unemployed,1.50,Instagram,69.00,10.79,2.65,3.13,3.00,7.17,0.42,4.00,TRUE,FALSE,1.00,8.00,14.73,3.04
41.00,Female,Student,1.36,Instagram,61.00,5.59,5.30,5.40,8.00,6.94,2.04,4.00,FALSE,FALSE,1.00,28.00,8.12,4.05
56.00,Female,Health,4.30,TikTok,48.00,7.55,6.53,5.74,8.00,6.98,0.22,10.00,TRUE,FALSE,3.00,4.00,6.34,5.64
19.00,Male,Unemployed,6.49,Facebook,53.00,5.19,4.29,4.09,8.00,7.21,1.33,1.00,TRUE,FALSE,2.00,5.00,11.02,3.73
54.00,Female,Student,5.13,Telegram,55.00,4.00,5.44,5.20,6.00,7.36,,5.00,FALSE,TRUE,0.00,11.00,2.36,5.27
34.00,Male,IT,2.72,Instagram,54.00,5.53,5.61,4.66,9.00,6.19,1.69,9.00,FALSE,TRUE,5.00,12.00,15.86,4.51
19.00,Male,IT,0.00,Twitter,53.00,6.24,6.18,5.71,2.00,7.22,,5.00,FALSE,FALSE,0.00,5.00,15.33,5.87
45.00,Female,Education,3.89,Instagram,66.00,5.31,3.98,4.02,2.00,6.07,0.00,2.00,FALSE,FALSE,2.00,18.00,14.43,3.02
40.00,Female,Finance,1.80,TikTok,57.00,9.77,8.43,7.35,6.00,4.50,2.01,10.00,TRUE,FALSE,4.00,0.00,9.47,6.36
54.00,Female,Health,6.20,Facebook,75.00,7.30,5.38,4.70,7.00,7.24,0.82,1.00,FALSE,FALSE,4.00,17.00,16.23,4.86
50.00,Male,Education,3.16,Twitter,62.00,6.75,5.42,5.38,5.00,6.49,0.48,9.00,TRUE,FALSE,2.00,26.00,22.10,5.60
18.00,Male,Unemployed,1.95,Instagram,59.00,5.24,7.22,6.90,7.00,5.98,1.85,3.00,FALSE,FALSE,3.00,13.00,14.75,6.73
43.00,Male,Student,1.51,Twitter,74.00,5.14,3.58,3.22,8.00,6.49,1.21,1.00,FALSE,FALSE,2.00,26.00,4.95,2.04
49.00,Female,IT,2.74,Twitter,67.00,6.03,5.92,5.94,3.00,6.79,0.07,5.00,FALSE,FALSE,1.00,3.00,20.95,5.97
23.00,Male,Unemployed,2.45,Instagram,59.00,6.81,6.23,5.10,7.00,7.18,0.70,9.00,TRUE,FALSE,2.00,4.00,8.42,5.01
21.00,Other,Student,3.34,Instagram,60.00,7.65,6.40,4.46,4.00,4.18,0.31,6.00,FALSE,FALSE,1.00,8.00,1.28,4.90
34.00,Female,Student,0.26,Facebook,57.00,5.74,5.50,5.44,9.00,3.07,0.81,4.00,TRUE,FALSE,3.00,0.00,18.14,6.53
41.00,Female,Finance,3.09,Telegram,69.00,2.67,6.45,6.08,9.00,6.30,1.93,7.00,FALSE,FALSE,0.00,3.00,10.10,6.71
51.00,Male,IT,3.11,Facebook,67.00,7.13,2.96,3.38,3.00,4.00,0.80,2.00,TRUE,FALSE,3.00,13.00,3.06,4.15
28.00,Female,IT,1.45,Telegram,74.00,5.03,5.38,6.11,6.00,7.07,0.32,10.00,TRUE,FALSE,1.00,22.00,5.45,6.21
65.00,Other,Education,3.31,TikTok,56.00,7.30,8.15,7.70,2.00,5.56,0.12,8.00,FALSE,TRUE,2.00,31.00,11.68,7.23
26.00,Female,Health,2.42,Telegram,56.00,6.74,4.47,4.00,1.00,8.94,0.77,2.00,TRUE,FALSE,2.00,27.00,17.18,2.88
23.00,Female,Finance,2.58,Telegram,60.00,4.81,3.72,2.14,3.00,5.59,2.02,1.00,FALSE,FALSE,3.00,30.00,15.94,1.99
33.00,Male,Health,4.17,Instagram,66.00,9.81,5.73,4.28,6.00,5.37,0.65,8.00,FALSE,FALSE,2.00,3.00,0.00,5.07
46.00,Male,Health,3.75,Facebook,72.00,5.62,5.12,5.21,2.00,10.00,0.93,6.00,FALSE,FALSE,2.00,28.00,19.43,5.31
37.00,Female,Unemployed,1.89,Telegram,76.00,4.35,5.92,6.59,10.00,5.46,1.90,4.00,FALSE,FALSE,2.00,2.00,9.26,8.33
53.00,Female,Health,1.22,TikTok,67.00,4.72,6.49,5.35,4.00,6.75,0.00,3.00,FALSE,TRUE,0.00,21.00,11.75,6.30
36.00,Male,Education,1.20,TikTok,54.00,4.80,5.84,4.61,5.00,5.04,0.42,7.00,FALSE,TRUE,1.00,3.00,10.47,5.83
43.00,Male,IT,2.68,TikTok,61.00,8.12,3.61,3.58,2.00,7.14,1.45,0.00,FALSE,FALSE,2.00,30.00,13.73,1.23
20.00,Female,Finance,3.67,Facebook,63.00,5.56,6.19,4.93,8.00,6.38,0.21,1.00,FALSE,FALSE,5.00,29.00,19.27,
36.00,Female,IT,0.00,Facebook,66.00,7.54,8.97,8.18,8.00,5.68,2.44,3.00,FALSE,FALSE,2.00,18.00,5.02,7.82
37.00,Female,Finance,4.46,Facebook,77.00,8.58,6.47,5.96,10.00,6.84,1.82,0.00,FALSE,TRUE,1.00,23.00,5.74,7.72
49.00,Female,Finance,0.87,Twitter,57.00,11.87,6.67,6.03,2.00,5.76,0.76,2.00,FALSE,TRUE,4.00,6.00,0.19,
24.00,Male,Health,1.63,TikTok,62.00,7.30,7.73,7.54,5.00,6.07,0.88,3.00,FALSE,FALSE,2.00,15.00,0.00,5.99
50.00,Male,Unemployed,3.77,Instagram,50.00,6.96,4.81,3.92,7.00,3.96,0.81,8.00,FALSE,FALSE,1.00,16.00,0.90,
57.00,Female,Education,6.02,TikTok,58.00,6.41,6.85,6.02,3.00,6.99,0.97,2.00,FALSE,TRUE,0.00,1.00,10.50,6.48
56.00,Male,IT,2.07,Telegram,58.00,6.25,3.03,2.84,6.00,4.34,,0.00,FALSE,FALSE,5.00,21.00,14.31,4.05
35.00,Female,Finance,5.16,TikTok,67.00,5.65,8.69,7.47,2.00,5.21,1.65,9.00,TRUE,FALSE,2.00,7.00,5.10,6.89
57.00,Male,Education,2.20,Facebook,66.00,6.47,7.03,6.97,10.00,6.60,0.00,5.00,TRUE,FALSE,1.00,7.00,1.96,7.53
45.00,Male,Education,0.03,Facebook,63.00,10.10,8.92,8.58,10.00,8.08,1.98,5.00,FALSE,FALSE,1.00,30.00,16.48,7.60
42.00,Female,IT,1.57,Facebook,69.00,6.10,5.76,5.22,10.00,6.05,0.94,4.00,TRUE,FALSE,2.00,4.00,13.55,4.97
48.00,Female,Finance,2.58,Telegram,46.00,5.85,3.35,2.46,7.00,7.93,1.86,0.00,FALSE,FALSE,1.00,31.00,0.00,3.12
47.00,Female,Finance,0.97,Instagram,59.00,8.03,2.09,1.18,5.00,4.80,0.70,8.00,FALSE,FALSE,3.00,28.00,0.15,2.31
24.00,Female,IT,0.00,Twitter,62.00,4.04,8.61,8.35,1.00,8.63,1.93,6.00,TRUE,FALSE,0.00,12.00,18.84,8.34
33.00,Female,Finance,4.01,Facebook,65.00,5.56,4.48,4.66,7.00,7.85,0.86,2.00,FALSE,FALSE,3.00,11.00,11.44,2.80
